report_id,kpi_family,metric_label,mp11_anchor,candidate_anchor,evidence_strength,evidence_role,caveat,release_implication,blocker_status,source_file
scenario_mp11_base_case,harvest_flow,WFP MP11 base case,MP11 Figure 2/Table 11 base-case context,1061600.00 m3/year,tracked_mp11_table_or_text,comparison_target,Accepted as MP11 comparison evidence only; not model input.,Primary harvest-flow target for Phase 13 comparison.,not_blocking,planning/tfl6_mp11_phase13_scenario_comparison.json
scenario_mp11_figure2_recovered_mean,harvest_flow,Reviewed Figure 2 recovered mean,MP11 Figure 2/Table 11 base-case context,1056896.06 m3/year,reviewed_mp11_figure_extraction,comparison_context,Accepted for comparison planning; do not use as model input.,Supports the flat MP11 base-case trajectory anchor.,not_blocking,planning/tfl6_mp11_phase13_scenario_comparison.json
scenario_mp11_adjusted_lrsy,harvest_flow,MP11 adjusted LRSY context,MP11 Figure 2/Table 11 base-case context,1182900.00 m3/year,tracked_mp11_table_or_text,context,LRSY is not the base-case AAC/harvest level.,Context only; do not compare candidate runtime as if LRSY were the base case.,not_blocking,planning/tfl6_mp11_phase13_scenario_comparison.json
scenario_candidate_p12_5_runtime_mean,harvest_flow,P12.5 tracked runtime smoke mean annual harvest,MP11 Figure 2/Table 11 base-case context,1407237.42 m3/year,tracked_runtime_output,runtime_smoke_output,P12.5 used a high minimum harvested-volume smoke target and did not include the maintainer's maintain-initial-growing-stock target.,"Shows runtime capability and order of magnitude, not release-calibrated base-case behavior.",scenario_smoke_only,planning/tfl6_mp11_phase13_scenario_comparison.json
scenario_candidate_p12_5_runtime_min,harvest_flow,P12.5 tracked runtime smoke minimum annual harvest,MP11 Figure 2/Table 11 base-case context,1376196.00 m3/year,tracked_runtime_output,runtime_smoke_output,Period-level minimum across nonzero P12.5 smoke periods.,Useful runtime diagnostic only.,scenario_smoke_only,planning/tfl6_mp11_phase13_scenario_comparison.json
scenario_candidate_p12_5_runtime_max,harvest_flow,P12.5 tracked runtime smoke maximum annual harvest,MP11 Figure 2/Table 11 base-case context,1462762.40 m3/year,tracked_runtime_output,runtime_smoke_output,Period-level maximum across nonzero P12.5 smoke periods.,Useful runtime diagnostic only.,scenario_smoke_only,planning/tfl6_mp11_phase13_scenario_comparison.json
scenario_candidate_p12_5_runtime_final,harvest_flow,P12.5 tracked runtime smoke final-period annual harvest,MP11 Figure 2/Table 11 base-case context,1410478.40 m3/year,tracked_runtime_output,runtime_smoke_output,"Final period is a smoke-run endpoint, not a release target.",Useful runtime diagnostic only.,scenario_smoke_only,planning/tfl6_mp11_phase13_scenario_comparison.json
scenario_candidate_maintainer_interactive_context,harvest_flow,Maintainer interactive basic scenario context,MP11 Figure 2/Table 11 base-case context,1150000.00 m3/year,maintainer_context,context_not_release_evidence,Approximate screenshot/context value; no tracked exported scenario table yet.,Motivates formal reproducible scenario export before release decisions.,needs_reproducible_base_export,planning/tfl6_mp11_phase13_scenario_comparison.json
scenario_candidate_thlb_context,land_base,Candidate P9RF current THLB versus MP11 declared THLB,120099.0 ha,122763.421 ha; 2.22% above MP11,tracked_model_input,candidate_scaffold_context,"P9RF is candidate scaffold THLB, not final release truth.",Supports plausibility but requires Phase 13 release QA and caveat documentation.,caveated_not_blocking,planning/tfl6_mp11_phase13_scenario_comparison.json
land_total_landbase,land_base,Total TFL area / total land base,"217197.0 ha; pages 15, 19, 283, 284",P1.6 current FADM-derived TFL 6 AOI: 217042.71895 ha,tracked_mp11_table_or_text,phase6_land_base_comparison_only,Reviewed planning comparison row. Values are not accepted model inputs until a later implementation phase explicitly promotes them.,Rounded MP11 land-base area is within 0.1% of the Phase 5 FADM-derived AOI; boundary area is effectively aligned for planning comparison.,comparison_context_only,planning/tfl6_mp11_land_base_crosswalk.csv
